Metric,Value
Total Rows,9971
Columns Info,"{'Record ID': 'object', 'DOI': 'object', 'Languages': 'object', 'File Name': 'object', 'Extracted Text': 'object', 'Failed': 'int64', 'Supported': 'int64'}"
Missing Values,"{'Record ID': 0, 'DOI': 21, 'Languages': 363, 'File Name': 0, 'Extracted Text': 2, 'Failed': 0, 'Supported': 0}"
Average Text Length,52776.18784474977
Median Text Length,19738.0
Minimum Text Length,0
Maximum Text Length,7455612
Language: eng,6999
Language: spa,1597
Language: deu,191
Language: por,135
Language: fra,123
Language: ara,123
Language: fil,56
Language: ita,45
Language: ron,38
Language: hin,33
Language: cat,29
Language: hun,21
Language: sqi,18
Language: zho,17
Language: ell,16
Language: tur,15
Language: nld,14
Language: rus,13
Language: lat,12
"Language: eng,fra",11
Language: pol,11
Language: urd,9
Language: srp,7
Language: tgl,5
Language: ukr,5
Language: yid,4
Language: cym,3
Language: ind,3
Language: hrv,3
Language: ces,3
Language: fas,3
"Language: eng,fil",3
"Language: fra,eng",2
"Language: eng,aig",2
"Language: tam,eng",2
Language: jpn,2
Language: arz,2
Language: slv,2
Language: heb,2
Language: swe,2
Language: fin,2
Language: nor,2
"Language: eng,deu",2
"Language: osp,spa,spq,ssp,eng",2
"Language: oty,eng",1
Language: pes,1
"Language: eng,ita",1
Language: afr,1
Language: mkd,1
"Language: eng,ara",1
"Language: deu,eng,ita",1
"Language: eng,cym",1
"Language: cmn,eng",1
"Language: eng,lat",1
"Language: spa,spq,ssp,osp",1
"Language: eng,hch,que,cav,cac,tca,cco,cax,chf,huv,cag,cak,amu,cpu,ceg,qug,qva",1
"Language: ara,fra,eng",1
"Language: eng,grc,lat",1
"Language: eng,gla",1
Language: bul,1
"Language: eng,spa",1
"Language: osp,spa,spq,ssp",1
Language: vie,1
Failed: 0,9640
Failed: 1,331
Supported: 1,9656
Supported: 0,315
Empty Text Rows,2
Empty Language Rows,363
